date,open,high,low,close,volume
2017-01-03,201.68,204.15,200.08,201.75,492807
2017-01-04,202.0,206.41,202.0,205.88,544649
2017-01-05,205.45,206.18,203.09,204.35,540523
2017-01-06,204.55,206.37,203.315,204.44,590923
2017-01-09,205.28,205.77,203.52,203.73,458323
2017-01-10,203.14,205.52,203.0,203.18,520080
2017-01-11,203.82,204.16,200.84,202.2,494400
2017-01-12,200.96,202.04,199.9,201.74,468566
2017-01-13,201.62,203.13,201.11,202.41,387872
2017-01-17,201.73,202.67,200.74,201.81,457560
2017-01-18,202.17,204.6,201.53,204.09,777658
2017-01-19,204.51,210.21,204.51,205.9,863297
2017-01-20,206.4,208.01,206.4,207.14,617529
2017-01-23,207.08,210.3,206.74,209.52,892028
2017-01-24,210.63,215.99,210.63,214.87,1027693
2017-01-25,215.63,217.96,215.19,215.38,942908
2017-01-26,215.33,216.52,213.89,215.45,417836
2017-01-27,214.88,215.29,214.04,215.17,334973
2017-01-30,213.42,216.08,212.13,215.46,485257
2017-01-31,215.63,216.42,213.43,215.84,558078
2017-02-01,215.85,217.25,213.07,215.87,493414
2017-02-02,215.58,216.975,214.8,216.03,558626
2017-02-03,216.31,217.51,214.83,215.39,455780
2017-02-06,214.46,216.48,212.77,213.38,749001
2017-02-07,214.46,216.175,213.75,214.0,566719
2017-02-08,214.27,215.5,213.47,214.1,458141
2017-02-09,213.23,215.37,211.13,214.77,999180
2017-02-10,212.5,224.165,209.9,222.72,2023906
2017-02-13,224.41,225.53,222.68,223.8,688412
2017-02-14,223.39,224.3,222.19,224.23,540692
2017-02-15,224.0,224.98,222.41,222.98,459025
2017-02-16,223.2,224.01,220.24,221.78,421657
2017-02-17,221.37,221.995,219.22,221.55,470703
2017-02-21,222.08,224.88,219.53,224.54,603479
2017-02-22,225.02,226.15,223.56,225.05,532562
2017-02-23,226.17,226.58,224.45,225.31,394802
2017-02-24,224.92,226.225,223.37,225.96,343668
2017-02-27,225.26,228.3,224.33,228.08,461006
2017-02-28,228.02,228.52,226.06,226.36,489079
2017-03-01,229.31,233.7,228.26,231.53,546969
2017-03-02,230.4,232.46,229.71,230.15,354921
2017-03-03,230.57,232.45,229.25,229.67,368804
2017-03-06,227.78,229.76,226.74,228.04,396890
2017-03-07,227.93,229.36,226.24,227.3,345104
2017-03-08,227.9,230.89,227.0,229.57,360129
2017-03-09,229.2,230.55,226.74,228.13,332978
2017-03-10,229.51,230.98,228.9374,230.39,344504
2017-03-13,230.27,231.47,229.275,231.07,308531
2017-03-14,229.46,231.19,228.94,229.92,267495
2017-03-15,231.0,231.62,228.53,231.0,525177
2017-03-16,231.0,233.57,230.16,231.4,626731
2017-03-17,231.23,231.5539,229.2,230.2,665193
2017-03-20,230.83,231.99,228.97,231.9,848131
2017-03-21,232.18,232.2,229.07,229.42,341554
2017-03-22,227.45,228.17,224.01,227.92,693963
2017-03-23,228.3,230.81,227.95,229.38,296274
2017-03-24,229.57,230.06,225.53,227.02,732175
2017-03-27,224.74,228.07,223.84,227.63,330598
2017-03-28,227.32,228.85,226.03,227.99,438659
2017-03-29,226.82,230.21,226.42,229.96,473676
2017-03-30,229.84,232.14,228.84,228.91,397167
2017-03-31,228.87,230.29,227.67,229.49,401244
2017-04-03,229.92,231.08,226.66,228.33,423045
2017-04-04,228.13,229.29,226.81,227.85,425069
2017-04-05,228.87,230.38,226.82,227.15,331145
2017-04-06,227.45,229.86,226.57,228.39,351783
2017-04-07,228.26,229.005,227.5,228.35,364281
2017-04-10,228.31,229.55,227.98,228.68,291502
2017-04-11,228.79,230.08,227.0575,229.93,308968
2017-04-12,232.05,233.86,228.93,230.46,389856
2017-04-13,229.95,230.92,228.835,229.75,358171
2017-04-17,230.38,232.49,229.43,232.48,301830
2017-04-18,231.26,232.27,229.95,231.66,330419
2017-04-19,233.14,234.99,231.8,234.22,519264
2017-04-20,235.38,237.58,234.95,236.29,447706
2017-04-21,236.43,237.02,234.77,234.93,708839
2017-04-24,237.75,238.155,234.74,235.78,499430
2017-04-25,236.83,240.2,236.83,238.42,550929
2017-04-26,239.1,240.08,238.02,238.35,618600
2017-04-27,238.46,241.02,237.055,238.88,860215
2017-04-28,230.0,236.37,227.99,234.79,1745923
